paper_id,grant_id,context
DECOUPLED WEIGHT DECAY REGULARIZATION,EXC 1086,"he BrainLinksBrainTools Cluster of Excellence (grant number EXC 1086 ) and through grant no. INST 37/935-1 FUGG , and by the Ger"
DECOUPLED WEIGHT DECAY REGULARIZATION,716721,"nion's Horizon 2020 research and innovation programme under grant no. 716721 , by the German Research Foundation (DFG) under the BrainLi"
DECOUPLED WEIGHT DECAY REGULARIZATION,INST,"Cluster of Excellence (grant number EXC 1086 ) and through grant no. INST 37/935-1 FUGG , and by the German state of Baden-Württember"
Implementing the Deep Q-Network,IIS-1637614,"rted by the National Science Foundation under grant numbers IIS-1637614 and IIS-1426452 , and DARPA under grant numbers W911NF-10-2"
Implementing the Deep Q-Network,IIS-1426452,"onal Science Foundation under grant numbers IIS-1637614 and IIS-1426452 , and DARPA under grant numbers W911NF-10-2-0016 and D15AP0"
Implementing the Deep Q-Network,1637614,"by the National Science Foundation under grant numbers IIS-1637614 and IIS-1426452 , and DARPA under grant numbers W911NF-10-2"
Implementing the Deep Q-Network,1426452,"Science Foundation under grant numbers IIS-1637614 and IIS-1426452 , and DARPA under grant numbers W911NF-10-2-0016 and D15AP0"
